,BlockID,Side,SpaceType,Count
0,01-24,NE,CVLZ,1
1,01-24,NE,PLZ,1
2,01-24,NE,PS,8
3,01-24,SW,PLZ,2
4,01-24,SW,PS,3
5,01-25,NE,CVLZ,1
6,01-25,NE,PLZ,1
7,01-25,NE,PS,6
8,01-25,SW,CVLZ,1
9,01-25,SW,PLZ,2
10,01-25,SW,PS,5
11,01-26,SW,CVLZ,1
12,01-26,SW,PS,9
13,02-24,NE,PS,4
14,02-25,NE,PS,10
15,02-25,SW,PLZ,1
16,02-25,SW,PS,8
17,02-26,NE,PLZ,2
18,02-26,NE,PS,4
19,02-26,SW,PLZ,2
20,03-24,NE,PLZ,1
21,03-24,NE,PS,7
22,03-24,SW,PLZ,1
23,03-24,SW,PS,6
24,03-25,NE,PLZ,1
25,03-25,NE,PS,9
26,03-25,SW,CVLZ,1
27,03-25,SW,PS,10
28,03-26,NE,L/UL,1
29,03-26,SW,CVLZ,1
30,03-26,SW,PS,1
31,04-24,NE,PS,9
32,04-24,SW,PLZ,1
33,04-24,SW,PS,6
34,04-25,NE,CVLZ,1
35,04-25,NE,PS,9
36,04-25,SW,CVLZ,1
37,04-25,SW,PLZ,1
38,04-25,SW,PS,6
39,04-26,NE,PLZ,1
40,04-26,NE,PS,8
41,04-26,SW,PLZ,1
42,04-26,SW,PS,8
43,24-01,NW,PS,17
44,24-01,SE,CVLZ,1
45,24-01,SE,PS,8
46,24-02,NW,PS,8
47,24-02,SE,PS,8
48,24-03,SE,CVLZ,1
49,25-01,NW,PS,9
50,25-01,SE,PS,8
51,25-02,SE,PLZ,1
52,25-02,SE,PS,3
53,26-01,NW,CVLZ,1
54,26-01,NW,PLZ,1
55,26-01,NW,PS,7
56,26-01,SE,PLZ,1
57,26-01,SE,PS,7
58,26-02,NW,PS,8
59,26-02,SE,PS,3
60,26-03,NW,PS,8
61,26-03,SE,PS,11
62,27-01,SE,CVLZ,1
63,27-01,SE,PLZ,2
64,27-01,SE,PS,5
65,27-02,SE,PLZ,1
66,27-02,SE,PS,5
67,27-03,NW,CVLZ,1
68,27-03,NW,PLZ,1
69,27-03,NW,PS,7
70,27-03,SE,PS,4
